Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Snowboard binding mount (product.metafields.test_data.binding_mount),Snowboard length (product.metafields.test_data.snowboard_length),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Canada,Price / Canada,Compare At Price / Canada,Status
mega-bloks-big-building-bag,Mega Bloks Big Building Bag,Mega Bloks Big Building Bag,MEGA BLOCKS,Uncategorized,TOYS,"egnition-sample-data, mega-blocks, toys",True,Title,Default Title,,,,,,,,TOY52,0.0,shopify,deny,manual,33.99,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0814/0452/6820/files/product_96_image1.jpg?v=1778067978,1.0,Mega Bloks Big Building Bag,False,,,,,,lb,,,,,,active
megablocks-call-of-duty-seal-sub-recon,MegaBlocks Call of Duty Seal Sub Recon,"Buildable submarine with authentic detailing, rotating rear propeller, and multiple storage compartments with sliding doors for streamlined display. Includes two highly detailed, super-poseable SEAL soldier micro action figures in diving suits and masks",MEGA BLOCKS,Uncategorized,TOYS,"egnition-sample-data, mega-blocks, toys",True,Title,Default Title,,,,,,,,TOY51,0.0,shopify,deny,manual,35.99,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0814/0452/6820/files/product_95_image1.jpg?v=1778067973,1.0,MegaBlocks Call of Duty Seal Sub Recon,False,,,,,,lb,,,,,,active
dinotrux-skrap-it-and-waldo-character-2-pack,Dinotrux Skrap-It and Waldo Character 2-Pack,"Skrap-It and Waldo appear small yet mighty in this exciting 2-pack. Featuring iconic details that fans will recognize from the show, each character also has movements that match its on-screen personality and unique toolability."" Kids will want to collect them all to build out the Mechazoic Era of Dinotrux!""",MATTEL,Uncategorized,TOYS,"egnition-sample-data, mattel, toys",True,Title,Default Title,,,,,,,,TOY50,0.0,shopify,deny,manual,4.99,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0814/0452/6820/files/product_94_image1.jpg?v=1778067967,1.0,Dinotrux Skrap-It and Waldo Character 2-Pack,False,,,,,,lb,,,,,,active
dinotrux-shadow-ty-rux-character,Dinotrux Shadow Ty Rux Character,"The thrill-seeking Shadow Ty Rux comes in larger hero scale for a look that's robust and ready to rumble. Featuring rolling wheels and unique movements, Shadow Ty Rux shows off his truck-ability and personality as-seen-in-context. Everyone will love the tail-smashing, jaw-closing and mouth-chomping action!",MATTEL,Uncategorized,TOYS,"egnition-sample-data, mattel, toys",True,Title,Default Title,,,,,,,,TOY49,0.0,shopify,deny,manual,4.99,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0814/0452/6820/files/product_93_image1.jpg?v=1778067961,1.0,Dinotrux Shadow Ty Rux Character,False,,,,,,lb,,,,,,active
dinotrux-rollodon-die-cast-character,Dinotrux Rollodon Die-Cast Character,"Rollodon is featured in die-cast form with special movements and abilities that are unique to his on-screen personality. Rolling wheels make for easy, push-around play. Kids will want to collect all the Mechazoic Era characters to build out the world of Dinotrux! The character vehicle also comes with access to a digital download of content with purchase.",MATTEL,Uncategorized,TOYS,"die-cast, egnition-sample-data, mattel, toys",True,Title,Default Title,,,,,,,,TOY48,0.0,shopify,deny,manual,4.99,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0814/0452/6820/files/product_92_image1.jpg?v=1778067955,1.0,Dinotrux Rollodon Die-Cast Character,False,,,,,,lb,,,,,,active
dinotrux-revvit-and-tortool-character-2-pack,Dinotrux Revvit and Tortool Character 2-Pack,"Revvit and Tortool appear small yet mighty in this exciting 2-pack. Featuring iconic details that fans will recognize from the show, each character also has movements that match its on-screen personality and unique toolability. Kids will want to collect all the characters from the Mechazoic Era to build out the world of Dinotrux!",MATTEL,Uncategorized,TOYS,"egnition-sample-data, mattel, toys",True,Title,Default Title,,,,,,,,TOY47,0.0,shopify,deny,manual,4.99,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0814/0452/6820/files/product_91_image1.jpg?v=1778067949,1.0,Dinotrux Revvit and Tortool Character 2-Pack,False,,,,,,lb,,,,,,active
dinotrux-large-scale-garby-character,Dinotrux Large Scale Garby Character,"Garby comes in large-scale so fans can act out the most heavy-duty missions from the show. Kid-powered motion triggers Garby to display unique and humorous movements, like the ability to feed him a piece of ore and then see it shoot out of his backside!",MATTEL,Uncategorized,TOYS,"egnition-sample-data, mattel, toys",True,Title,Default Title,,,,,,,,TOY44,0.0,shopify,deny,manual,22.99,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0814/0452/6820/files/product_90_image1.jpg?v=1778067943,1.0,Dinotrux Large Scale Garby Character,False,,,,,,lb,,,,,,active
dinotrux-dozer-die-cast-character,Dinotrux Dozer Die-Cast Character,"Dozer is featured in die-cast form with special movements and abilities that are unique to his on-screen personality. Featuring a strong, bulldozer-like build, Dozer can charge and demolish anything in his path! Rolling wheels make for easy, push-around play. Kids will want to collect all Mechazoic Era characters to build out the world of Dinotrux!",MATTEL,Uncategorized,TOYS,"die-cast, egnition-sample-data, mattel, toys",True,Title,Default Title,,,,,,,,TOY43,0.0,shopify,deny,manual,4.99,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0814/0452/6820/files/product_89_image1.jpg?v=1778067938,1.0,Dinotrux Dozer Die-Cast Character,False,,,,,,lb,,,,,,active
dinotrux-ace-and-click-clack-character-2-pack,Dinotrux Ace and Click-Clack Character 2-Pack,"Ace and Click-Clack appear small yet mighty in this exciting 2-pack. Featuring iconic details that fans will recognize from the show, each character also has movements that match its on-screen personality and unique toolability. Kids will want to collect all the characters from the Mechazoic Era to build out the world of Dinotrux!",MATTEL,Uncategorized,TOYS,"egnition-sample-data, mattel, toys",True,Title,Default Title,,,,,,,,TOY42,0.0,shopify,deny,manual,4.99,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0814/0452/6820/files/product_88_image1.jpg?v=1778067932,1.0,Dinotrux Ace and Click-Clack Character 2-Pack,False,,,,,,lb,,,,,,active
dinotrux-diecast-dragonflopter-vehicle,Dinotrux Diecast Dragonflopter Vehicle,"Have a ferociously fun time with the half-dinosaur, half-construction vehicles from Dinotrux! This exciting assortment offers size and variety, giving fans the option to choose from either their favorite Dinotrux character in mid-sized scale or a 2-pack of smaller-scale Reptools!",MATTEL,Uncategorized,TOYS,"egnition-sample-data, mattel, toys",True,Title,Default Title,,,,,,,,TOY41,0.0,shopify,deny,manual,59.99,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0814/0452/6820/files/product_87_image1.jpg?v=1778067926,1.0,Dinotrux Diecast Dragonflopter Vehicle,False,,,,,,lb,,,,,,active
nerf-n-strike-elite-accustrike-series-falconfire-blaster,Nerf N-Strike Elite AccuStrike Series Falconfire Blaster,Nerf N-Strike Elite AccuStrike Series Falconfire Blaster,NERF,Uncategorized,TOYS,"boys-toys, egnition-sample-data, nerf, toys",True,Title,Default Title,,,,,,,,TOY40,0.0,shopify,deny,manual,17.0,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0814/0452/6820/files/product_86_image1.jpg?v=1778067920,1.0,Nerf N-Strike Elite AccuStrike Series Falconfire Blaster,False,,,,,,lb,,,,,,active
nerf-modulus-recon-mk11,Nerf Modulus Recon MK11,"Measures L 42.5 x W 5 x H 20 cm For ages 8 and up Made of Plastic Includes blaster, stock, barrel extension, 6-dart clip, 6 darts and instructions. Requires 2 AA batteries - not included",NERF,Uncategorized,TOYS,"boys-toys, egnition-sample-data, nerf, toys",True,Title,Default Title,,,,,,,,TOY39,0.0,shopify,deny,manual,36.0,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0814/0452/6820/files/product_85_image1.jpg?v=1778067915,1.0,Nerf Modulus Recon MK11,False,,,,,,lb,,,,,,active
nerf-modulus-tri-strike-blaster-toy,Nerf Modulus Tri-Strike Blaster Toy,Nerf Modulus Tri-Strike Blaster Toy,NERF,Uncategorized,TOYS,"boys-toys, egnition-sample-data, nerf, toys",True,Title,Default Title,,,,,,,,TOY38,0.0,shopify,deny,manual,76.0,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0814/0452/6820/files/product_84_image1.jpg?v=1778067909,1.0,Nerf Modulus Tri-Strike Blaster Toy,False,,,,,,lb,,,,,,active
nerf-microshots-n-strike-elite-strongarm,Nerf Microshots N-Strike Elite Strongarm,"Blast into big fun with Nerf MicroShots series that features collectible, mini-sized versions of favorite Nerf blasters (each sold separately)! Go strong with the MicroShots N-Strike Elite Strongarm blaster, which fires 1 dart at a time and comes with 2 Elite darts. ",NERF,Uncategorized,TOYS,"boys-toys, egnition-sample-data, nerf, toys",True,Title,Default Title,,,,,,,,TOY37,0.0,shopify,deny,manual,9.0,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0814/0452/6820/files/product_83_image1.jpg?v=1778067903,1.0,Nerf Microshots N-Strike Elite Strongarm,False,,,,,,lb,,,,,,active
nerf-modulus-ecs-10-blaster-toy,Nerf Modulus ECS-10 Blaster Toy,"Taking a simple idea of a shooting game, this NERF Modulus Blaster Toy ups the ante with NERF patented blasters and engineered foam, making playtime a more realistic one--minus the unwanted injuries, of course. ",NERF,Uncategorized,TOYS,"boys-toys, egnition-sample-data, nerf, toys",True,Title,Default Title,,,,,,,,TOY36,0.0,shopify,deny,manual,57.0,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0814/0452/6820/files/product_82_image1.jpg?v=1778067897,1.0,Nerf Modulus ECS-10 Blaster Toy,False,,,,,,lb,,,,,,active
nerf-n-strike-elite-hyperfire-blaster,Nerf N-Strike Elite Hyperfire Blaster,Nerf N-Strike Elite Hyperfire Blaster,NERF,Uncategorized,TOYS,"boys-toys, egnition-sample-data, nerf, toys",True,Title,Default Title,,,,,,,,TOY35,0.0,shopify,deny,manual,66.0,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0814/0452/6820/files/product_81_image1.jpg?v=1778067892,1.0,Nerf N-Strike Elite Hyperfire Blaster,False,,,,,,lb,,,,,,active
hasbro-nerf-elite-triad,Hasbro Nerf Elite Triad,"Taking a simple idea of a shooting game, this Hasbro NERF Elite Triad ups the ante with NERF patented blasters and engineered foam, making playtime a more realistic one--minus the unwanted injuries, of course. ",NERF,Uncategorized,TOYS,"boys-toys, egnition-sample-data, hasbro, nerf, toys",True,Title,Default Title,,,,,,,,TOY34,0.0,shopify,deny,manual,10.0,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0814/0452/6820/files/product_80_image1.jpg?v=1778067886,1.0,Hasbro Nerf Elite Triad,False,,,,,,lb,,,,,,active
nerf-modulus-stockshot-blaster,NERF Modulus StockShot Blaster,NERF Modulus StockShot Blaster,NERF,Uncategorized,TOYS,"boys-toys, egnition-sample-data, nerf, toys",True,Title,Default Title,,,,,,,,TOY33,0.0,shopify,deny,manual,22.0,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0814/0452/6820/files/product_79_image1.jpg?v=1778067880,1.0,NERF Modulus StockShot Blaster,False,,,,,,lb,,,,,,active
nerf-n-strike-elite-jolt-blaster,Nerf N Strike Elite Jolt Blaster,"Don't be fooled by this blaster's micro size, because it's got macro stealth power! After you load your ultra-small blaster with the 2 included Elite darts, just hide it in your pocket to maneuver in close to your enemy. ",NERF,Uncategorized,TOYS,"boys-toys, egnition-sample-data, nerf, toys",True,Title,Default Title,,,,,,,,TOY32,0.0,shopify,deny,manual,12.0,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0814/0452/6820/files/product_78_image1.jpg?v=1778067874,1.0,Nerf N Strike Elite Jolt Blaster,False,,,,,,lb,,,,,,active
nerf-n-strike-elite-retaliator-blaster-toy,Nerf N-Strike Elite Retaliator Blaster Toy,"Taking a simple idea of a shooting game, this NERF Elite Retaliator Blaster Toy ups the ante with NERF patented blasters and engineered foam, making playtime a more realistic one--minus the unwanted injuries, of course.",NERF,Uncategorized,TOYS,"boys-toys, egnition-sample-data, nerf, toys",True,Title,Default Title,,,,,,,,TOY31,0.0,shopify,deny,manual,32.0,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0814/0452/6820/files/product_77_image1.jpg?v=1778067868,1.0,Nerf N-Strike Elite Retaliator Blaster Toy,False,,,,,,lb,,,,,,active
nintendo-hdmi-game-consoles,Nintendo HDMI Game Consoles,Nintendo HDMI Game Consoles 600 In 1 TV Classic Retro HD Video Game Console 4GB Family Play Station Player,NINTENDO,Uncategorized,TOYS,"egnition-sample-data, nintendo, toys, video-games",True,Title,Default Title,,,,,,,,TOY30,0.0,shopify,deny,manual,125.0,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0814/0452/6820/files/product_74_image1.jpg?v=1778067862,1.0,Nintendo HDMI Game Consoles,False,,,,,,lb,,,,,,active
gamesir-f1-joystick,Gamesir F1 Joystick,Gamesir F1 Joystick Grip Extended Handle Game Accessories Controller Grip for Smart Phone Analog Joystick Grip for Android &amp; iOS,NINTENDO,Uncategorized,TOYS,"egnition-sample-data, nintendo, toys, video-games",True,Title,Default Title,,,,,,,,TOY29,0.0,shopify,deny,manual,78.0,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0814/0452/6820/files/product_73_image1.jpg?v=1778067856,1.0,Gamesir F1 Joystick,False,,,,,,lb,,,,,,active
nintendo-new-3ds-xl,Nintendo New 3DS XL,THE NEXT DIMENSION IN ENTERTAINMENT. The New Nintendo 3DS XL system combines next-generation portable gaming withsuper-stable 3D technology and added control features.,NINTENDO,Uncategorized,TOYS,"egnition-sample-data, new-realease, nintendo, toys, video-games",True,Title,Default Title,,,,,,,,TOY28,0.0,shopify,deny,manual,389.0,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0814/0452/6820/files/product_72_image1.jpg?v=1778067850,1.0,Nintendo New 3DS XL,False,,,,,,lb,,,,,,active
nintendo-dsi-matte-red,Nintendo Dsi Matte Red,Nintendo DSi 3353790.00 Game System - 3.25 LCD Display Built-in Camera Internet Browser Mate Red,NINTENDO,Uncategorized,TOYS,"egnition-sample-data, nintendo, toys, video-games",True,Title,Default Title,,,,,,,,TOY27,0.0,shopify,deny,manual,300.0,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0814/0452/6820/files/product_71_image1.jpg?v=1778067845,1.0,Nintendo Dsi Matte Red,False,,,,,,lb,,,,,,active
nintendo-2ds-link-edition,Nintendo 2DS Link Edition,"Play all games, both Nintendo DS and Nintendo 3DS, in 2D. From games to photos and beyond, Nintendo 2DS is the ultimate 2D gaming experience.",NINTENDO,Uncategorized,TOYS,"egnition-sample-data, nintendo, toys, video-games",True,Title,Default Title,,,,,,,,TOY26,0.0,shopify,deny,manual,249.0,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0814/0452/6820/files/product_70_image1.jpg?v=1778067839,1.0,Nintendo 2DS Link Edition,False,,,,,,lb,,,,,,active
nintendo-super-famicom-mini,Nintendo Super Famicom Mini,Nintendo Super Famicom Mini,NINTENDO,Uncategorized,TOYS,"egnition-sample-data, nintendo, toys, video-games",True,Title,Default Title,,,,,,,,TOY25,0.0,shopify,deny,manual,94.0,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0814/0452/6820/files/product_69_image1.jpg?v=1778067833,1.0,Nintendo Super Famicom Mini,False,,,,,,lb,,,,,,active
nintendo-entertainment-system-nes-classic-edition,Nintendo Entertainment System: NES Classic Edition,"From your first Goomba stomp to your thousandth victory in Final Fantasy, the Nintendo Entertainment System may just be the most nostalgic gaming console ever.",NINTENDO,Uncategorized,TOYS,"egnition-sample-data, nintendo, on-sale, toys, video-games",True,Title,Default Title,,,,,,,,TOY24,0.0,shopify,deny,manual,57.0,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0814/0452/6820/files/product_68_image1.jpg?v=1778067827,1.0,Nintendo Entertainment System: NES Classic Edition,False,,,,,,lb,,,,,,active
nintendo-snes-classic-mini,Nintendo SNES Classic Mini,"The console has a September 29 release date, and it includes the best Mario game ever made: ""Super Mario World.""",NINTENDO,Uncategorized,TOYS,"best-sellers, egnition-sample-data, nintendo, toys, video-games",True,Title,Default Title,,,,,,,,TOY23,0.0,shopify,deny,manual,131.0,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0814/0452/6820/files/product_67_image1.jpg?v=1778067821,1.0,Nintendo SNES Classic Mini,False,,,,,,lb,,,,,,active
nintendo-switch-with-neon-blue-neon-red-joy-con,Nintendo Switch with Neon Blue/Neon Red Joy-Con,"Nintendo Switch is designed to go wherever you do, transforming from home console to portable system in a snap. So you get more time to play the games you love, however you like.",NINTENDO,Uncategorized,TOYS,"egnition-sample-data, nintendo, toys, video-games",True,Title,Default Title,,,,,,,,TOY22,0.0,shopify,deny,manual,468.0,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0814/0452/6820/files/product_66_image1.jpg?v=1778067815,1.0,Nintendo Switch with Neon Blue/Neon Red Joy-Con,False,,,,,,lb,,,,,,active
nintendo-patented-3-0inch,Nintendo Patented 3.0inch,Nintendo Patented 3.0inch Dual-core 64-bit Mini Handheld Game Console Emulator RETRO GAME GBA Video Game Console Retro Games Handheld Game Console,NINTENDO,Uncategorized,TOYS,"best-sellers, egnition-sample-data, nintendo, toys, video-games",True,Title,Default Title,,,,,,,,TOY21,0.0,shopify,deny,manual,45.0,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0814/0452/6820/files/product_65_image1.jpg?v=1778067809,1.0,Nintendo Patented 3.0inch,False,,,,,,lb,,,,,,active
hasbro-taboo-board-game,Hasbro Taboo Board Game,"Taboo is the game of unspeakable fun! Can you get your team to say Brain Freeze? What if you can't say Ice Cream, Headache, Eating, Cold or Fast? Not so easy now, is it? When you play Taboo, the obvious clues are strictly taboo!",HASBRO,Uncategorized,TOYS,"board-games, egnition-sample-data, hasbro, toys",True,Title,Default Title,,,,,,,,TOY20,0.0,shopify,deny,manual,28.0,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0814/0452/6820/files/product_64_image1.jpg?v=1778067803,1.0,Hasbro Taboo Board Game,False,,,,,,lb,,,,,,active
hasbro-all-new-boggle-game,Hasbro All New Boggle Game,"There is no denying the effect of toy gadgets to kids. Many electronic toys for toddlers and kids recently emerged because it is proven more appealing. However, when it comes to educational past times, nothing can beat the classics, like the Hasbro A0421 All New Boggle Game
",HASBRO,Uncategorized,TOYS,"egnition-sample-data, hasbro, toys",True,Title,Default Title,,,,,,,,TOY19,0.0,shopify,deny,manual,22.0,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0814/0452/6820/files/product_63_image1.jpg?v=1778067798,1.0,Hasbro All New Boggle Game,False,,,,,,lb,,,,,,active
hasbro-pie-face-showdown,Hasbro Pie Face Showdown,"The hilarious Pie Face Showdown game brings friends and family together for lots of laugh-out-loud fun. First, players load the arm with whipped cream (not included) or the included sponge.",HASBRO,Uncategorized,TOYS,"egnition-sample-data, hasbro, toys",True,Title,Default Title,,,,,,,,TOY18,0.0,shopify,deny,manual,36.0,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0814/0452/6820/files/product_62_image1.jpg?v=1778067792,1.0,Hasbro Pie Face Showdown,False,,,,,,lb,,,,,,active
hasbro-jenga-pass-challenge-game,Hasbro Jenga Pass Challenge Game,"Includes: 27 hardwood Jenga blocks with resealable plastic storage bag, passing platform, stacking stand, instructions",HASBRO,Uncategorized,TOYS,"building-sets, egnition-sample-data, hasbro, toys",True,Title,Default Title,,,,,,,,TOY17,0.0,shopify,deny,manual,25.0,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0814/0452/6820/files/product_61_image1.jpg?v=1778067787,1.0,Hasbro Jenga Pass Challenge Game,False,,,,,,lb,,,,,,active
hasbro-gaming-monopoly-junior-electronic-banking-game,Hasbro Gaming Monopoly Junior Electronic Banking Game,Learn to earn with your first Monopoly Bank Card!,HASBRO,Uncategorized,TOYS,"egnition-sample-data, hasbro, monopoly, toys",True,Title,Default Title,,,,,,,,TOY16,0.0,shopify,deny,manual,29.0,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0814/0452/6820/files/product_60_image1.jpg?v=1778067781,1.0,Hasbro Gaming Monopoly Junior Electronic Banking Game,False,,,,,,lb,,,,,,active
hasbro-gaming-pie-face-sky-high,Hasbro Gaming Pie Face Sky High,Hasbro Gaming Pie Face Sky High,HASBRO,Uncategorized,TOYS,"egnition-sample-data, hasbro, party-supplies, toys",True,Title,Default Title,,,,,,,,TOY15,0.0,shopify,deny,manual,38.0,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0814/0452/6820/files/product_59_image1.jpg?v=1778067775,1.0,Hasbro Gaming Pie Face Sky High,False,,,,,,lb,,,,,,active
